"F"	"noise"	"a"	"b"	"c"	"d"	"e"	"f"	"compl.a"	"succ.att.a"	"corr.att.a"	"mean.att.jemals.a"
0.26	0.05	546.4316	779.0346	908.0057	775.4947	545.0671	545.3797	790	800	800	0
0.26	0.1	548.1997	753.05	887.5854	753.5664	553.0322	549.5488	616	759	759	0.00395257
0.26	0.15	547.893300248139	728.486033519553	857.808873720136	731.39367816092	553.599496221662	539.259860788863	403	617	617	0.00972447
0.26	0.25	542.279069767442	670.053846153846	817.304761904762	656.5	569.299212598425	503.551181102362	129	248	236	0.0241935
0.26	0.3	540.444444444444	615.64406779661	653.727272727273	665.712121212121	536.648148148148	521.916666666667	63	133	126	0.037594
0.26	0.35	480.666666666667	607.83870967742	688.346153846154	598.953488372093	518.233333333333	468.242424242424	33	91	79	0.0549451
0.26	0.45	510.071428571428	581.947368421053	746	515.666666666667	553.363636363636	404.722222222222	17	47	43	0
